UID        PID  PPID  C STIME TTY          TIME CMD
can       3001  1135  0 20:58 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfs-gphoto2-volume-monitor
can       3005  1135  0 20:58 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfsd-metadata
can       3008  1696  0 20:58 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
root      3219     1  0 21:00 ?        00:00:00 nix-daemon --daemon
root      4034     2  0 21:04 ?        00:00:01 [kworker/3:0-mm_percpu_wq]
can       4412     1  1 21:06 ?        00:00:51 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome
can       4417  4412  0 21:06 ?        00:00:00 cat
can       4418  4412  0 21:06 ?        00:00:00 cat
can       4421  4412  0 21:06 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=zygote --no-zygote-sandbox
can       4422  4412  0 21:06 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=zygote
can       4423  4422  0 21:06 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/nacl_helper
can       4426  4422  0 21:06 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=zygote
can       4446  4421  0 21:06 ?        00:00:42 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=gpu-process --field-trial-handle=5723314761396664852,15179375831110801254,131072 --gpu-preferences=QAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --shared-files
